Date,Open,High,Low,Close,Adj Close,Volume,Month,Weekday
18-04-17,141.410004,142.039993,141.110001,141.199997,139.567795,14697500,Apr,Tuesday
19-04-17,141.880005,142,140.449997,140.679993,139.053818,17328400,Apr,Wednesday
20-04-17,141.220001,142.919998,141.160004,142.440002,140.793457,23319600,Apr,Thursday
21-04-17,142.440002,142.679993,141.850006,142.270004,140.625443,17320900,Apr,Friday
24-04-17,143.5,143.949997,143.179993,143.639999,141.979584,17134300,Apr,Monday
25-04-17,143.910004,144.899994,143.869995,144.529999,142.859299,18871500,Apr,Tuesday
26-04-17,144.470001,144.600006,143.380005,143.679993,142.019119,20041200,Apr,Wednesday
27-04-17,143.919998,144.160004,143.309998,143.789993,142.127869,14246300,Apr,Thursday
28-04-17,144.089996,144.300003,143.270004,143.649994,141.989456,20860400,Apr,Friday
01-05-17,145.100006,147.199997,144.960007,146.580002,144.885605,33602900,May,Monday
02-05-17,147.539993,148.089996,146.839996,147.509995,145.804855,45352200,May,Tuesday
03-05-17,145.589996,147.490005,144.270004,147.059998,145.360062,45697000,May,Wednesday
04-05-17,146.520004,147.139999,145.809998,146.529999,144.836182,23371900,May,Thursday
05-05-17,146.759995,148.979996,146.759995,148.960007,147.238113,27327700,May,Friday
08-05-17,149.029999,153.699997,149.029999,153.009995,151.241272,48752400,May,Monday
09-05-17,153.869995,154.880005,153.449997,153.990005,152.209961,39130400,May,Tuesday
10-05-17,153.630005,153.940002,152.110001,153.259995,151.488388,25805700,May,Wednesday
11-05-17,152.449997,154.070007,152.309998,153.949997,152.798523,27255100,May,Thursday
12-05-17,154.699997,156.419998,154.669998,156.100006,154.932449,32527000,May,Friday
15-05-17,156.009995,156.649994,155.050003,155.699997,154.535416,26009700,May,Monday
16-05-17,155.940002,156.059998,154.720001,155.470001,154.307144,20048500,May,Tuesday
17-05-17,153.600006,154.570007,149.710007,150.25,149.12619,50767700,May,Wednesday
18-05-17,151.270004,153.339996,151.130005,152.539993,151.399048,33568200,May,Thursday
19-05-17,153.380005,153.979996,152.630005,153.059998,151.915176,26960800,May,Friday
22-05-17,154,154.580002,152.910004,153.990005,152.838211,22966400,May,Monday
23-05-17,154.899994,154.899994,153.309998,153.800003,152.649643,19918900,May,Tuesday
24-05-17,153.839996,154.169998,152.669998,153.339996,152.193069,19178000,May,Wednesday
25-05-17,153.729996,154.350006,153.029999,153.869995,152.719101,19235600,May,Thursday
26-05-17,154,154.240005,153.309998,153.610001,152.46106,21701100,May,Friday
30-05-17,153.419998,154.429993,153.330002,153.669998,152.520599,20126900,May,Tuesday
31-05-17,153.970001,154.169998,152.380005,152.759995,151.617416,24451200,May,Wednesday
01-06-17,153.169998,153.330002,152.220001,153.179993,152.034271,16404100,Jun,Thursday
02-06-17,153.580002,155.449997,152.889999,155.449997,154.287292,27770700,Jun,Friday
05-06-17,154.339996,154.449997,153.460007,153.929993,152.778656,25331700,Jun,Monday
06-06-17,153.899994,155.809998,153.779999,154.449997,153.294785,26624900,Jun,Tuesday
07-06-17,155.020004,155.979996,154.479996,155.369995,154.207901,21069600,Jun,Wednesday
08-06-17,155.25,155.539993,154.399994,154.990005,153.830734,21250800,Jun,Thursday
09-06-17,155.190002,155.190002,146.020004,148.979996,147.865692,64882700,Jun,Friday
12-06-17,145.740005,146.089996,142.509995,145.419998,144.332306,72307300,Jun,Monday
13-06-17,147.160004,147.449997,145.149994,146.589996,145.493561,34165400,Jun,Tuesday
14-06-17,147.5,147.5,143.839996,145.160004,144.074265,31531200,Jun,Wednesday
15-06-17,143.320007,144.479996,142.210007,144.289993,143.210754,32165400,Jun,Thursday
16-06-17,143.779999,144.5,142.199997,142.270004,141.205887,50361100,Jun,Friday
19-06-17,143.660004,146.740005,143.660004,146.339996,145.245438,32541400,Jun,Monday
20-06-17,146.869995,146.869995,144.940002,145.009995,143.925369,24900100,Jun,Tuesday
21-06-17,145.520004,146.070007,144.610001,145.869995,144.778946,21265800,Jun,Wednesday
22-06-17,145.770004,146.699997,145.119995,145.630005,144.540756,19106300,Jun,Thursday
23-06-17,145.130005,147.160004,145.110001,146.279999,145.185883,35439400,Jun,Friday
26-06-17,147.169998,148.279999,145.380005,145.820007,144.72934,25692400,Jun,Monday
27-06-17,145.009995,146.160004,143.619995,143.729996,142.654953,24761900,Jun,Tuesday
28-06-17,144.490005,146.110001,143.160004,145.830002,144.739243,22082400,Jun,Wednesday
29-06-17,144.710007,145.130005,142.279999,143.679993,142.605316,31499400,Jun,Thursday
30-06-17,144.449997,144.960007,143.779999,144.020004,142.942795,23024100,Jun,Friday
03-07-17,144.880005,145.300003,143.100006,143.5,142.426682,14258300,Jul,Monday
05-07-17,143.690002,144.789993,142.720001,144.089996,143.012253,21569600,Jul,Wednesday
06-07-17,143.020004,143.5,142.410004,142.729996,141.66243,24128800,Jul,Thursday
07-07-17,142.899994,144.75,142.899994,144.179993,143.101578,19201700,Jul,Friday
10-07-17,144.110001,145.949997,143.369995,145.059998,143.975006,21090600,Jul,Monday
11-07-17,144.729996,145.850006,144.380005,145.529999,144.441483,19781800,Jul,Tuesday
12-07-17,145.869995,146.179993,144.820007,145.740005,144.649918,24884500,Jul,Wednesday
13-07-17,145.5,148.490005,145.440002,147.770004,146.664749,25199400,Jul,Thursday
14-07-17,147.970001,149.330002,147.330002,149.039993,147.925232,20132100,Jul,Friday
17-07-17,148.820007,150.899994,148.570007,149.559998,148.441345,23793500,Jul,Monday
18-07-17,149.199997,150.130005,148.669998,150.080002,148.957474,17868800,Jul,Tuesday
19-07-17,150.479996,151.419998,149.949997,151.020004,149.890442,20923000,Jul,Wednesday
20-07-17,151.5,151.740005,150.190002,150.339996,149.215515,17243700,Jul,Thursday
21-07-17,149.990005,150.440002,148.880005,150.270004,149.146042,26252600,Jul,Friday
24-07-17,150.580002,152.440002,149.899994,152.089996,150.952423,21493200,Jul,Monday
25-07-17,151.800003,153.839996,151.800003,152.740005,151.59758,18853900,Jul,Tuesday
26-07-17,153.350006,153.929993,153.059998,153.460007,152.31218,15781000,Jul,Wednesday
27-07-17,153.75,153.990005,147.300003,150.559998,149.433868,32476300,Jul,Thursday
28-07-17,149.889999,150.229996,149.190002,149.5,148.38179,17213700,Jul,Friday
31-07-17,149.899994,150.330002,148.130005,148.729996,147.617554,19845900,Jul,Monday
01-08-17,149.100006,150.220001,148.410004,150.050003,148.927689,35368600,Aug,Tuesday
02-08-17,159.279999,159.75,156.160004,157.139999,155.964661,69936800,Aug,Wednesday
03-08-17,157.050003,157.210007,155.020004,155.570007,154.406403,27097300,Aug,Thursday
04-08-17,156.070007,157.399994,155.690002,156.389999,155.220261,20559900,Aug,Friday
07-08-17,157.059998,158.919998,156.669998,158.809998,157.622162,21870300,Aug,Monday
08-08-17,158.600006,161.830002,158.270004,160.080002,158.88266,36205900,Aug,Tuesday
09-08-17,159.259995,161.270004,159.110001,161.059998,159.855331,26131500,Aug,Wednesday
10-08-17,159.899994,160,154.630005,155.320007,154.763657,40804300,Aug,Thursday
11-08-17,156.600006,158.570007,156.070007,157.479996,156.915909,26257100,Aug,Friday
14-08-17,159.320007,160.210007,158.75,159.850006,159.27742,22122700,Aug,Monday
15-08-17,160.660004,162.199997,160.139999,161.600006,161.021149,29465500,Aug,Tuesday
16-08-17,161.940002,162.509995,160.149994,160.949997,160.373474,27671600,Aug,Wednesday
17-08-17,160.520004,160.710007,157.839996,157.860001,157.29454,27940600,Aug,Thursday
18-08-17,157.860001,159.5,156.720001,157.5,156.935837,27428100,Aug,Friday
21-08-17,157.5,157.889999,155.110001,157.210007,156.646881,26368500,Aug,Monday
22-08-17,158.229996,160,158.020004,159.779999,159.207672,21604600,Aug,Tuesday
23-08-17,159.070007,160.470001,158.880005,159.979996,159.406952,19399100,Aug,Wednesday
24-08-17,160.429993,160.740005,158.550003,159.270004,158.699493,19818900,Aug,Thursday
25-08-17,159.649994,160.559998,159.270004,159.860001,159.287384,25480100,Aug,Friday
28-08-17,160.139999,162,159.929993,161.470001,160.891617,25966000,Aug,Monday
29-08-17,160.100006,163.119995,160,162.910004,162.326462,29516900,Aug,Tuesday
30-08-17,163.800003,163.889999,162.610001,163.350006,162.764893,27269600,Aug,Wednesday
31-08-17,163.639999,164.520004,163.479996,164,163.412552,26785100,Aug,Thursday
01-09-17,164.800003,164.940002,163.630005,164.050003,163.462372,16591100,Sep,Friday
